trip_distance,tip_amount,fare_amount,total_amount,passenger_count,start_hour,start_day,start_weekday,start_month,trip_duration_minutes
1.99,2.81,10.5,16.86,1.0,8,1,Thursday,7,13.133333333333333
0.83,0.0,6.5,7.3,1.0,8,1,Thursday,7,6.633333333333334
2.34,1.96,9.0,11.76,1.0,8,1,Thursday,7,6.95
3.93,0.0,14.0,17.8,1.0,8,1,Thursday,7,10.5
3.0,3.1,12.0,18.65,1.0,8,1,Thursday,7,13.583333333333334
0.0,0.0,2.5,3.3,1.0,9,1,Thursday,7,0.08333333333333333
3.09,3.21,12.5,19.26,1.0,9,1,Thursday,7,15.083333333333334
2.91,3.2,12.0,16.0,1.0,9,1,Thursday,7,13.533333333333333
4.02,0.0,15.0,15.8,1.0,9,1,Thursday,7,15.3
1.83,0.0,10.5,11.3,1.0,9,1,Thursday,7,13.866666666666667
1.98,0.0,8.0,8.8,1.0,9,1,Thursday,7,7.05
0.44,0.0,4.0,4.8,1.0,9,1,Thursday,7,3.15
4.14,3.0,18.0,24.55,1.0,9,1,Thursday,7,25.533333333333335
10.22,0.0,32.0,32.8,1.0,9,1,Thursday,7,31.483333333333334
2.64,2.5,15.5,18.8,1.0,9,1,Thursday,7,22.15
4.73,1.0,19.5,24.05,1.0,9,1,Thursday,7,27.7
1.36,0.0,6.0,6.8,1.0,9,1,Thursday,7,4.95
3.1,1.0,20.5,25.05,1.0,9,1,Thursday,7,31.766666666666666
4.08,4.01,16.5,24.06,1.0,9,1,Thursday,7,21.9
1.31,0.0,7.5,8.3,1.0,9,1,Thursday,7,8.1
4.09,0.0,16.0,19.55,1.0,9,1,Thursday,7,19.333333333333332
6.1,0.0,32.5,33.3,1.0,9,1,Thursday,7,43.36666666666667
0.46,0.0,4.5,5.3,1.0,9,1,Thursday,7,3.7666666666666666
0.98,0.0,6.0,9.55,1.0,9,1,Thursday,7,6.45
1.6,0.0,7.0,7.8,1.0,9,1,Thursday,7,5.65
1.93,2.0,8.5,11.3,2.0,9,1,Thursday,7,9.25
1.94,0.0,10.0,10.8,2.0,9,1,Thursday,7,11.3
14.49,0.0,43.5,47.05,1.0,9,1,Thursday,7,37.766666666666666
0.38,0.0,3.5,4.3,1.0,8,1,Thursday,7,1.9166666666666667
1.09,1.36,6.0,8.16,1.0,9,1,Thursday,7,4.883333333333334
0.73,1.36,6.0,8.16,1.0,9,1,Thursday,7,6.616666666666666
1.13,2.11,7.0,12.66,1.0,9,1,Thursday,7,7.816666666666666
1.05,1.16,5.0,6.96,1.0,9,1,Thursday,7,2.45
3.65,0.0,14.0,17.55,1.0,9,1,Thursday,7,13.833333333333334
7.08,2.0,22.5,28.05,1.0,9,1,Thursday,7,18.833333333333332
7.85,2.0,25.0,30.8,2.0,9,1,Thursday,7,21.133333333333333
1.5,1.95,9.0,11.75,1.0,9,1,Thursday,7,11.116666666666667
2.2,0.0,12.0,12.8,1.0,9,1,Thursday,7,15.883333333333333
0.43,0.0,4.5,5.3,1.0,9,1,Thursday,7,3.5
1.71,0.0,8.5,9.3,1.0,9,1,Thursday,7,10.6
1.67,0.0,9.0,9.8,1.0,9,1,Thursday,7,10.216666666666667
1.22,0.0,7.0,7.8,1.0,9,1,Thursday,7,7.666666666666667
3.63,0.0,13.0,20.35,1.0,9,1,Thursday,7,11.216666666666667
1.96,0.0,10.0,10.8,1.0,9,1,Thursday,7,11.983333333333333
0.47,0.0,4.0,4.8,1.0,9,1,Thursday,7,2.0
1.28,0.0,7.0,7.8,1.0,9,1,Thursday,7,6.483333333333333
3.2,3.0,14.0,20.55,1.0,9,1,Thursday,7,17.816666666666666
3.71,0.0,15.0,18.55,1.0,9,1,Thursday,7,18.716666666666665
0.82,0.0,5.5,6.3,1.0,9,1,Thursday,7,4.9
2.08,2.51,9.0,15.06,1.0,9,1,Thursday,7,10.8
